name,type,address,email,phone_number,website
University of Washington,University,"6215 Stanley Street
Lake Megan, NE 77181",daniellerobles@example.org,717.679.0453,https://turner.com/
Yale University,University,"1043 John Bypass Apt. 600
Jessicaview, GA 79501",milesmarisa@example.com,001-709-699-5962,https://murphy-kim.org/
University of Pennsylvania,University,"6888 Bryan Branch Apt. 558
Jonesland, FL 59496",gbarrett@example.com,492.924.2580x61145,http://www.horn.com/
"University of California, San Diego",University,"8731 Bean River
Port Toni, AZ 96428",jeff58@example.org,963-314-7948x1455,https://www.rivera-turner.com/
FHNW University of Applied Sciences and Arts Northwestern Switzerland,University,"858 Kenneth Plains Apt. 964
Jimenezburgh, NH 55927",pkrause@example.org,+1-517-592-2843x592,http://gonzales.com/
University of Cambridge,University,"619 Hunter Pass Apt. 751
West Scott, AL 77139",allencheryl@example.com,770-947-6002,https://white.com/
Massachusetts Institute of Technology,University,"2600 Yu Forges Apt. 619
Jenniferside, MH 16518",tallen@example.net,(672)880-8139,https://www.gray.net/
Columbia University,University,"597 Gregory Station
Randystad, CA 92512",lisa88@example.org,(258)371-2890x372,http://www.hines.com/
Harvard University,Company,"6952 Dean Court
Port John, VA 82984",scott43@example.com,319.613.3352,https://www.jones-gonzalez.info/
University of Oxford,University,"33393 Rachel Street Apt. 926
South Vincentmouth, CO 64782",taylormichael@example.org,968-809-1249x3150,http://johnson.com/
University of Chicago,Company,"86715 Steven Terrace Suite 296
Patelside, DC 46615",dianawilson@example.org,(361)969-1945x3136,http://jenkins.com/
University of Michigan,University,"1468 Brandon Light Suite 872
West Brianport, GU 56401",murrayjoseph@example.net,994.311.5671x8867,https://west.com/
California Institute of Technology,University,"62555 Steve Path
Simonton, IA 08451",lawrence31@example.org,(569)366-6173x145,https://johnson.net/
Stanford University,University,"0880 Ramos Shoal Apt. 271
Jeremyfort, PW 29980",michaelroberts@example.net,+1-666-321-2813,https://cooper.com/
"University of California, Berkeley",University,"3404 Pamela Terrace Apt. 119
North Suzanneview, ND 84475",lyonsarthur@example.org,680-539-0074x611,http://www.garcia.info/
"University of California, Los Angeles",Company,"72588 Gonzales Orchard Apt. 776
Jacobtown, FL 90488",jasonoconnor@example.net,722-834-0334x641,http://murphy.com/
Princeton University,University,"6902 Dawson Crest Suite 782
South Emilyview, VA 46624",floresdavid@example.com,(707)309-3173x103,http://park.net/
'Google',Company,"85604 Charlotte Haven Apt. 525
North Rebeccaberg, TX 11746",edwardsjoe@example.com,001-829-839-0166x262,http://cortez.com/
'DeepMind',Company,"2841 Randy Inlet
Nataliefort, IN 19584",jeffreyanthony@example.net,001-582-363-5234,http://strong.com/
'INRIA',Company,"5056 Jeremy Plaza
Johnsonfort, NV 30153",lozanocarolyn@example.com,391-200-3341x343,http://hall.com/
'Sydney University',University,"29518 Carlson Circles Suite 534
Port James, NY 36463",ejones@example.com,959-332-2441,https://www.garza.info/
'Singapore Management University',Company,"65481 Mitchell Vista
Wrightborough, PA 58336",olsonjames@example.org,+1-581-892-8794x471,https://strickland.com/
'AFRL',University,"5107 Hobbs Greens Suite 666
North Staceybury, SD 34521",raymond20@example.com,934-658-5717x60530,https://gallagher-douglas.com/
'St. Petersburg Federal Research Center of the Russian Academy of Sciences',Company,"Unit 1175 Box 2098
DPO AE 55718",zgonzalez@example.com,(935)421-8994x61682,https://www.clayton.info/
'University of Geneva',Company,"81341 Michael Square Suite 316
South Jesse, WY 89420",brooke99@example.net,272.741.5463x592,https://www.white.biz/
DeepMind,University,"5145 Hannah Spurs
New Russell, TX 46787",ldiaz@example.com,+1-627-883-4340x62179,https://thomas.com/
"'ANU, Murdoch University, UNSW, Brunel University, Flinders University, UWA, Curtin University'",University,"4030 Stone Ville
New Jacqueline, CO 26591",brandon13@example.net,289-414-0709x437,https://www.hale.com/
'Hong Kong University of Science and Technology',University,"77531 Berger Creek
Crosschester, PR 94971",tylerharvey@example.net,510.837.1814,https://www.lutz.biz/
'data.world',University,"020 Holden Drive
Johnsonview, PW 45080",perrymisty@example.org,+1-260-475-8635x211,https://mcneil.com/
'Kansas State University',University,"123 Rodriguez Crossing Apt. 831
Mayoburgh, NH 89315",jennifer93@example.net,3525807468,https://smith.com/
'University of Washington',Company,"48613 Debbie Corner
Jillville, SD 80885",mindylevy@example.com,(488)805-2846,https://myers.com/
Universitat de Barcelona,University,"58999 Knox Street
Randyton, PW 63424",hillsally@example.net,725-685-6659,https://www.williams.biz/
'University of Düsseldorf',University,"6022 Flowers Mountain
Jamesland, MS 00931",derekkane@example.com,001-513-907-0951,https://www.williams.com/
'Technische Universität Dresden',University,"60185 Chavez Street
Rebeccamouth, MN 44842",amccullough@example.net,480.830.4754x548,https://www.bell.com/
'Harvard University',Company,"7650 Richard Glen
Parkertown, AS 84037",brownteresa@example.net,(933)779-7196x192,https://gonzales-price.com/
